name,link
сынып сағаты,https://meet.google.com/ipk-fuzz-evb
ағылшын тілі 1 топ,https://meet.google.com/jvz-qcxy-veu
ағылшын тілі 2 топ,https://meet.google.com/kfe-xvnu-sxr
алгебра,https://meet.google.com/jsi-sjgs-ere
геометрия,https://meet.google.com/jsi-sjgs-ere
информатика 1 топ,https://meet.google.com/xwa-uheo-jvd
информатика 2 топ,https://meet.google.com/sry-vfxt-mxw
география,https://meet.google.com/wbc-unui-wuy
қазақ тілі,https://meet.google.com/day-cupc-bsz
қазақ әдебиеті,https://meet.google.com/day-cupc-bsz
орыс тілі 1 топ,https://meet.google.com/bts-nigd-rgq
орыс тілі 2 топ,https://meet.google.com/ycw-ymnr-tnn
физика,https://meet.google.com/gnw-pzpb-yri
химия,
биология,
қазақстан тарихы,https://meet.google.com/kgd-ameo-wit
дүниежүзі тарихы,https://meet.google.com/pts-gpjy-ohr
,